Time_Hour,Instrument_Code,Open,High,Low,Close,VWAP,TWAP,NumberOfTrades,Volume,Turnover,MinTimeHour,MaxTimeHour,Avg_Bid_Ask_Spread
2018-02-15 14:00:00+00:00,ABC,53.45454545,53.63636364,53.37272727,53.37272727,53.49643727,53.49549818,2755,172248.9091,1114959489,2020-02-13 14:00:01.329519+00:00,2020-02-13 14:59:55.451160+00:00,0.011261818
2018-02-15 15:00:00+00:00,ABC,53.37272727,53.6,53.27272727,53.59090909,53.42087091,53.41812,2707,204078.0909,1319077614,2020-02-13 15:00:00.069391+00:00,2020-02-13 15:59:54.573871+00:00,0.010906364
2018-02-15 16:00:00+00:00,ABC,53.59090909,53.64090909,53.13697455,53.61818182,53.62178818,53.60000182,1345,879426.3636,5703607812,2020-02-13 16:00:01.196873+00:00,2020-02-13 16:55:02.496565+00:00,-0.257150909
2018-02-16 08:00:00+00:00,ABC,53.68181818,53.69090909,53.26363636,53.30909091,53.46155545,53.43629545,2446,219539.5455,1419496984,2020-02-14 08:00:05.397802+00:00,2020-02-14 08:59:51.785205+00:00,-0.050016364
2018-02-16 09:00:00+00:00,ABC,53.31818182,53.74545455,53.24545455,53.47272727,53.50934455,53.50162,1412,105628.3636,683805913.7,2020-02-14 09:00:00.137862+00:00,2020-02-14 09:59:58.167376+00:00,0.012008182
2018-02-16 10:00:00+00:00,ABC,53.47272727,53.74545455,53.47272727,53.55454545,53.64052818,53.63921273,962,55615.54545,360964063.5,2020-02-14 10:00:09.107368+00:00,2020-02-14 10:59:53.684333+00:00,0.011297273
2018-02-16 11:00:00+00:00,ABC,53.56581818,53.68181818,53.46363636,53.58181818,53.56991909,53.57643182,1037,74443.81818,482600535.1,2020-02-14 11:00:00.920627+00:00,2020-02-14 11:59:59.756770+00:00,0.011128182
2018-02-16 12:00:00+00:00,ABC,53.52727273,53.72727273,53.51818182,53.67272727,53.62936909,53.63266182,744,40264.18182,261296504.3,2020-02-14 12:02:11.174135+00:00,2020-02-14 12:59:38.798529+00:00,0.007033636
2018-02-16 13:00:00+00:00,ABC,53.66363636,53.84545455,53.63636364,53.69090909,53.74196455,53.73235636,1138,68073.90909,442590360.1,2020-02-14 13:00:01.114170+00:00,2020-02-14 13:59:47.271305+00:00,0.011318182
2018-02-16 14:00:00+00:00,ABC,53.68636364,53.71272727,53.30454545,53.37272727,53.54914909,53.55034545,1812,112734.3636,730472662.3,2020-02-14 14:00:00.511699+00:00,2020-02-14 14:59:59.877429+00:00,0.011727273
2018-02-16 15:00:00+00:00,ABC,53.35454545,53.43636364,53.26363636,53.27272727,53.34504,53.34944182,2165,124707.0909,805019493.8,2020-02-14 15:00:00.161513+00:00,2020-02-14 15:59:55.542619+00:00,0.010747273
2018-02-16 16:00:00+00:00,ABC,53.28181818,53.29090909,53.13636364,53.13636364,53.14499727,53.21761182,1263,718193.9091,4624688288,2020-02-14 16:00:04.066104+00:00,2020-02-14 16:36:09.881749+00:00,-0.379933636
2018-02-19 08:00:00+00:00,ABC,53.21818182,53.80909091,53.21818182,53.58181818,53.55689455,53.53975545,1753,174738.5455,1132010541,2020-02-17 08:00:29.603349+00:00,2020-02-17 08:59:12.329763+00:00,-0.025079091
2018-02-19 09:00:00+00:00,ABC,53.58181818,53.67800909,53.55454545,53.65454545,53.63528182,53.63282455,727,47629.27273,309093585.4,2020-02-17 09:00:11.060902+00:00,2020-02-17 09:59:55.437999+00:00,0.010739091
2018-02-19 10:00:00+00:00,ABC,53.66363636,53.70090909,53.62727273,53.68181818,53.67628091,53.67600182,858,55195.90909,358486182.4,2020-02-17 10:00:12.053892+00:00,2020-02-17 10:59:55.095876+00:00,0.010186364
2018-02-19 11:00:00+00:00,ABC,53.69090909,53.81818182,53.68640909,53.81818182,53.74915364,53.75329273,983,72515.90909,471654235.2,2020-02-17 11:00:07.503534+00:00,2020-02-17 11:59:59.684719+00:00,0.010718182
2018-02-19 12:00:00+00:00,ABC,53.81818182,53.87272727,53.7,53.84545455,53.79158455,53.79377636,1021,57043.18182,371296745.9,2020-02-17 12:00:01.735815+00:00,2020-02-17 12:59:38.185993+00:00,-0.024264545
